CAMPO_OFICIAL,CAMPO_SIH,UBICACION,CUENCA,FECHA,CATEGORIA,PETROLEO_MMB,PETROLEO_CRUDO_EQUIVALENTE_MMBPCE,GAS_MMMPC
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2021,PROBADAS,10.339178,13.196465,14.70167
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2021,PROBABLES,8.097135999999999,9.833403,8.933665999999999
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2021,POSIBLES,17.336741,21.774355,22.832971000000004
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2022,PROBADAS,13.324972,16.911592,20.034019
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2022,PROBABLES,8.26609,9.917546000000002,9.22465
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2022,POSIBLES,0.0,0.0,0.0
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2023,PROBADAS,11.62317,14.604474,17.428012
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2023,PROBABLES,0.0,0.0,0.0
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2023,POSIBLES,0.0,0.0,0.0
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2024,PROBADAS,18.526663,22.384202,29.059459
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2024,PROBABLES,0.0,0.0,0.0
ABKATÚN,ABKATUN,Aguas someras,Cuencas del Sureste,01/01/2024,POSIBLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2010,PROBADAS,0.0,1.394857,9.012503
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2010,PROBABLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2010,POSIBLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2011,PROBADAS,0.0,1.453677,9.012503
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2011,PROBABLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2011,POSIBLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2012,PROBADAS,0.0,1.447766,9.012503
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2012,PROBABLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2012,POSIBLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2013,PROBADAS,0.0,1.43749,8.993646
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2013,PROBABLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2013,POSIBLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2014,PROBADAS,0.0,1.409571,8.990172
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2014,PROBABLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2014,POSIBLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2015,PROBADAS,0.0,1.3715,8.9867
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2015,PROBABLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2015,POSIBLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2016,PROBADAS,0.0,1.352597,8.990198
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2016,PROBABLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2016,POSIBLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2017,PROBADAS,0.0,1.282957,8.776417
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2017,PROBABLES,0.0,0.0,0.0
ACACHÚ,ACACHU,Terrestre,Cuencas del Sureste,01/01/2017,POSIBLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2010,PROBADAS,0.0,0.397528,1.819145
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2010,PROBABLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2010,POSIBLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2011,PROBADAS,0.0,0.200473,0.888742
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2011,PROBABLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2011,POSIBLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2012,PROBADAS,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2012,PROBABLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2012,POSIBLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2013,PROBADAS,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2013,PROBABLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2013,POSIBLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2014,PROBADAS,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2014,PROBABLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2014,POSIBLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2015,PROBADAS,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2015,PROBABLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2015,POSIBLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2016,PROBADAS,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2016,PROBABLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2016,POSIBLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2017,PROBADAS,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2017,PROBABLES,0.0,0.0,0.0
ACAGUAL,ACAGUAL,Terrestre,Veracruz,01/01/2017,POSIBLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2010,PROBADAS,0.0,0.019891,0.103453
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2010,PROBABLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2010,POSIBLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2011,PROBADAS,0.0,0.020443,0.106321
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2011,PROBABLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2011,POSIBLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2012,PROBADAS,0.0,0.011377,0.05917
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2012,PROBABLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2012,POSIBLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2013,PROBADAS,0.0,0.009591,0.049883
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2013,PROBABLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2013,POSIBLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2014,PROBADAS,0.0,0.002596,0.0135
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2014,PROBABLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2014,POSIBLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2015,PROBADAS,0.0,0.138701,0.721373
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2015,PROBABLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2015,POSIBLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2016,PROBADAS,0.0,0.124034,0.64509
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2016,PROBABLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2016,POSIBLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2017,PROBADAS,0.0,0.058677,0.305176
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2017,PROBABLES,0.0,0.0,0.0
ACAHUAL,ACAHUAL,Terrestre,Cuencas del Sureste,01/01/2017,POSIBLES,0.0,0.0,0.0
ACTUL,ACTUL,Terrestre,Cuencas del Sureste,01/01/2023,PROBADAS,1.292619,1.305078,0.509732
ACTUL,ACTUL,Terrestre,Cuencas del Sureste,01/01/2023,PROBABLES,1.4179450000000002,1.4321320000000002,0.580413
ACTUL,ACTUL,Terrestre,Cuencas del Sureste,01/01/2023,POSIBLES,2.533998,2.5593509999999995,1.03725
ACTUL,ACTUL,Terrestre,Cuencas del Sureste,01/01/2024,PROBADAS,2.070665,2.240625,0.830596
ACTUL,ACTUL,Terrestre,Cuencas del Sureste,01/01/2024,PROBABLES,2.338623,2.510907,0.8419549999999999
ACTUL,ACTUL,Terrestre,Cuencas del Sureste,01/01/2024,POSIBLES,3.1307989999999997,3.450976,1.5647040000000003
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2010,PROBADAS,0.786285,0.841265,0.375189
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2010,PROBABLES,0.7040289999999999,0.7601559999999999,0.383016
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2010,POSIBLES,1.068945,1.5619210000000001,3.3641119999999995
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2011,PROBADAS,0.67458,0.759873,0.478836
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2011,PROBABLES,0.48897499999999994,0.5321940000000001,0.24262699999999998
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2011,POSIBLES,1.004355,1.0804859999999998,0.427403
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2012,PROBADAS,0.882373,0.978207,0.396922
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2012,PROBABLES,0.3539880000000001,0.387748,0.13982300000000003
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2012,POSIBLES,1.0149749999999997,1.115411,0.415983
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2013,PROBADAS,0.864747,0.986188,0.520806
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2013,PROBABLES,0.721847,0.787052,0.27963499999999997
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2013,POSIBLES,1.317836,1.4362090000000003,0.5076480000000001
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2014,PROBADAS,0.66,0.788695,0.596778
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2014,PROBABLES,0.15393499999999993,0.16974699999999998,0.07332099999999997
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2014,POSIBLES,0.34883200000000014,0.38427999999999995,0.16437999999999997
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2015,PROBADAS,0.389429,0.488995,0.787237
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2015,PROBABLES,0.09401299999999996,0.10128500000000001,0.057494000000000045
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2015,POSIBLES,0.73641,0.784469,0.379984
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2016,PROBADAS,1.052681,1.06997,0.91146
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2016,PROBABLES,1.0904239999999998,1.1060499999999998,0.8238260000000001
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2016,POSIBLES,0.0,0.0,0.0
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2017,PROBADAS,0.970803,0.995597,0.779818
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2017,PROBABLES,1.159656,1.1883279999999998,0.901811
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2017,POSIBLES,0.0,0.0,0.0
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2018,PROBADAS,1.079495,1.137787,1.131245
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2018,PROBABLES,1.2019769999999999,1.250125,0.934382
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2018,POSIBLES,0.0,0.0,0.0
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2019,PROBADAS,1.475237,1.535124,1.520823
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2019,PROBABLES,1.229409,1.269089,1.0076610000000001
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2019,POSIBLES,0.0,0.0,0.0
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2020,PROBADAS,1.239877,1.239877,1.766205
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2020,PROBABLES,1.2357960000000001,1.2357960000000001,1.0244280000000001
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2020,POSIBLES,0.0,0.0,0.0
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2021,PROBADAS,0.877723,0.877723,0.609566
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2021,PROBABLES,1.240341,1.240341,1.011016
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2021,POSIBLES,0.0,0.0,0.0
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2022,PROBADAS,1.504199,1.504199,1.302742
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2022,PROBABLES,1.190317,1.190317,0.9761999999999997
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2022,POSIBLES,0.0,0.0,0.0
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2023,PROBADAS,1.391698,1.391698,1.24322
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2023,PROBABLES,1.190317,1.190317,0.9762
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2023,POSIBLES,0.0,0.0,0.0
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2024,PROBADAS,1.379447,1.379447,1.169373
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2024,PROBABLES,1.190317,1.190317,0.9762000000000002
ACUATEMPA,ACUATEMPA,Terrestre,Tampico-Misantla,01/01/2024,POSIBLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2010,PROBADAS,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2010,PROBABLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2010,POSIBLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2011,PROBADAS,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2011,PROBABLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2011,POSIBLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2012,PROBADAS,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2012,PROBABLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2012,POSIBLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2013,PROBADAS,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2013,PROBABLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2013,POSIBLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2014,PROBADAS,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2014,PROBABLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2014,POSIBLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2015,PROBADAS,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2015,PROBABLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2015,POSIBLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2016,PROBADAS,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2016,PROBABLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2016,POSIBLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2017,PROBADAS,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2017,PROBABLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2017,POSIBLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2018,PROBADAS,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2018,PROBABLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2018,POSIBLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2019,PROBADAS,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2019,PROBABLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2019,POSIBLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2020,PROBADAS,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2020,PROBABLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2020,POSIBLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2021,PROBADAS,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2021,PROBABLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2021,POSIBLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2022,PROBADAS,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2022,PROBABLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2022,POSIBLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2023,PROBADAS,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2023,PROBABLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2023,POSIBLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2024,PROBADAS,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2024,PROBABLES,0.0,0.0,0.0
ACUYO,ACUYO,Terrestre,Cuencas del Sureste,01/01/2024,POSIBLES,0.0,0.0,0.0
ADOLFO LÓPEZ MATEOS,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,01/01/2010,PROBADAS,0.0,0.0,0.0
ADOLFO LÓPEZ MATEOS,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,01/01/2010,PROBABLES,0.0,0.0,0.0
ADOLFO LÓPEZ MATEOS,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,01/01/2010,POSIBLES,0.0,0.0,0.0
ADOLFO LÓPEZ MATEOS,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,01/01/2011,PROBADAS,0.0,0.0,0.0
ADOLFO LÓPEZ MATEOS,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,01/01/2011,PROBABLES,0.0,0.0,0.0
ADOLFO LÓPEZ MATEOS,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,01/01/2011,POSIBLES,0.0,0.0,0.0
ADOLFO LÓPEZ MATEOS,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,01/01/2012,PROBADAS,0.0,0.0,0.0
ADOLFO LÓPEZ MATEOS,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,01/01/2012,PROBABLES,0.0,0.0,0.0
ADOLFO LÓPEZ MATEOS,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,01/01/2012,POSIBLES,0.0,0.0,0.0
ADOLFO LÓPEZ MATEOS,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,01/01/2013,PROBADAS,0.0,0.0,0.0
ADOLFO LÓPEZ MATEOS,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,01/01/2013,PROBABLES,0.0,0.0,0.0
ADOLFO LÓPEZ MATEOS,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,01/01/2013,POSIBLES,0.0,0.0,0.0
ADOLFO LÓPEZ MATEOS,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,01/01/2014,PROBADAS,0.0,0.0,0.0
